# Program:featureCounts v2.0.1; Command:"/opt/subread-2.0.1-Linux-x86_64/bin/featureCounts" "-p" "-T" "10" "-a" "genes/chrX.gtf" "-o" "featurecounts_out/all_featureCountx.txt" "sorted_bam/ERR188044.bam" "sorted_bam/ERR188104.bam" "sorted_bam/ERR188234.bam" "sorted_bam/ERR188245.bam" "sorted_bam/ERR188257.bam" "sorted_bam/ERR188273.bam" "sorted_bam/ERR188337.bam" "sorted_bam/ERR188383.bam" "sorted_bam/ERR188401.bam" "sorted_bam/ERR188428.bam" "sorted_bam/ERR188454.bam" "sorted_bam/ERR204916.bam" 
Geneid	Chr	Start	End	Strand	Length	sorted_bam/ERR188044.bam	sorted_bam/ERR188104.bam	sorted_bam/ERR188234.bam	sorted_bam/ERR188245.bam	sorted_bam/ERR188257.bam	sorted_bam/ERR188273.bam	sorted_bam/ERR188337.bam	sorted_bam/ERR188383.bam	sorted_bam/ERR188401.bam	sorted_bam/ERR188428.bam	sorted_bam/ERR188454.bam	sorted_bam/ERR204916.bam
NM_005756	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	18989307;18994896;18996051;18998996;18999861;19002846;19004758;19006002;19006220;19007235;19007980;19009626;19010613;19013686;19019599;19021104;19023416;19023909;19027219;19028183;19030984;19033613;19035942;19037467;19037598;19040189;19068717;19082702;19122442	18991048;18995048;18996152;18999279;18999960;19003114;19004879;19006105;19006265;19007357;19008123;19009782;19010778;19014074;19019665;19021198;19023453;19023948;19027274;19028238;19031037;19033654;19035977;19037490;19037636;19040224;19068835;19082746;19122637	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4844	0	0	0	0	0	0	0	0	0	0	0	0
NM_001079858	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	18989307;18994896;18996051;18998996;18999861;19002846;19004758;19006002;19006220;19007235;19007980;19009626;19010613;19013686;19019599;19021104;19023416;19023909;19027219;19028183;19030984;19033613;19035942;19037467;19037589;19040189;19068717;19082702;19122442	18991048;18995048;18996152;18999279;18999960;19003114;19004879;19006105;19006265;19007357;19008123;19009782;19010778;19014074;19019665;19021198;19023453;19023948;19027274;19028238;19031037;19033654;19035977;19037490;19037636;19040224;19068835;19082746;19122637	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4853	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001671	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	19360058;19361339;19361493;19362738;19369054;19370959;19371345;19372653;19373536;19374477;19380120;19392002;19392343;19395081;19398226;19400576;19407188;19409924;19413357;19415107;19425531;19426231;19431438;19456913;19459985;19464213;19486482;19488828;19514901	19360833;19361415;19361593;19362850;19369219;19371064;19371530;19372827;19373695;19374660;19380277;19392107;19392473;19395208;19398359;19400663;19407283;19409973;19413464;19415257;19425690;19426343;19431608;19457019;19460153;19464406;19486505;19488967;19515261	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4633	10	14	18	8	8	5	11	10	5	7	14	13
NM_001079859	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	18989307;18994896;18996051;18998996;18999861;19002846;19004758;19006002;19006220;19007235;19007980;19009626;19010613;19013686;19019599;19021104;19023416;19023909;19027219;19028183;19030984;19035942;19037467;19037589;19040189;19068717;19082702;19122442	18991048;18995048;18996152;18999279;18999960;19003114;19004879;19006105;19006265;19007357;19008123;19009782;19010778;19014074;19019665;19021198;19023453;19023948;19027274;19028238;19031037;19035977;19037490;19037636;19040224;19068835;19082746;19122637	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4811	0	0	0	0	0	0	0	0	0	0	0	0
NM_001184837	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	18989307;18994896;18996051;18998996;18999861;19002846;19004758;19006002;19006220;19007235;19007980;19009626;19010613;19013686;19019599;19021104;19023416;19023909;19027219;19028183;19030984;19035942;19037467;19040189;19068717;19082702;19122442	18991048;18995048;18996152;18999279;18999960;19003114;19004879;19006105;19006265;19007357;19008123;19009782;19010778;19014074;19019665;19021198;19023453;19023948;19027274;19028238;19031037;19035977;19037490;19040224;19068835;19082746;19122637	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4763	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168466	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	20006713;20010777;20012349;20013054;20013569;20015223;20016094;20024951;20025681;20042502;20044364;20056680;20063414;20064728;20116750	20008398;20011052;20012535;20013132;20013625;20015327;20016325;20025083;20025952;20042629;20044500;20056791;20063577;20064805;20116996	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168465	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	20006713;20010777;20012349;20013054;20013569;20015223;20016094;20024951;20025681;20042502;20044364;20050824;20052878;20056680;20063414;20064728;20116750	20008398;20011052;20012535;20013132;20013625;20015327;20016325;20025083;20025952;20042629;20044524;20050946;20052988;20056791;20063577;20064805;20116996	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4151	7	41	25	0	6	5	17	12	25	13	20	50
NM_152780	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	20006713;20010777;20012349;20013054;20013569;20015223;20016094;20024951;20025681;20042502;20044364;20052878;20056680;20063414;20064728;20116750	20008398;20011052;20012535;20013132;20013625;20015327;20016325;20025083;20025952;20042629;20044524;20052988;20056791;20063577;20064805;20116996	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4028	0	0	0	0	0	0	0	0	0	0	0	0
NM_004586	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	20149911;20156109;20161644;20162964;20164899;20167589;20169402;20172746;20175164;20176250;20176434;20176996;20186296;20187828;20188497;20193487;20194189;20195065;20204022;20209288;20234758;20266564	20155520;20156249;20161761;20163040;20165060;20167747;20169491;20172871;20175288;20176352;20176498;20177084;20186366;20187970;20188534;20193593;20194268;20195145;20204103;20209404;20234814;20266632	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7710	2530	2728	2262	1096	1624	1001	2322	1938	2548	1657	1911	2120
NM_001168467	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	20006713;20010777;20012349;20013054;20013569;20015223;20016094;20024951;20025681;20042502;20044364;20052878;20056680;20063414;20064728;20116531	20008398;20011052;20012535;20013132;20013625;20015327;20016325;20025083;20025952;20042629;20044500;20052988;20056791;20063577;20064805;20116638	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3865	0	0	0	0	0	0	0	0	0	0	0	0
NR_045617	chrX;chrX;chrX;chrX;chrX;chrX	21705972;21733656;21737549;21743750;21754246;21757942	21706394;21733757;21737697;21743836;21754302;21758160	-;-;-;-;-;-	1037	1	0	0	0	0	0	0	0	0	0	0	0
NM_001168647	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	21374418;21426497;21432612;21440694;21470766;21490459;21497787;21501520;21516485;21526867;21531856;21563238;21590572;21591022;21594974;21595324;21601282;21606779;21609071;21648831;21652306	21374961;21426660;21432814;21440781;21470807;21490578;21497846;21501588;21516631;21527000;21532067;21563452;21590620;21591194;21595047;21595395;21601349;21606879;21609617;21649027;21654695	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5669	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168649	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	21374418;21426497;21432612;21440694;21470766;21490459;21497787;21501520;21526867;21531856;21561471;21563238;21590572;21591022;21594974;21595324;21601282;21606779;21609071;21641533	21374961;21426660;21432814;21440781;21470807;21490578;21497846;21501588;21527000;21532067;21561560;21563452;21590620;21591194;21595047;21595395;21601349;21606879;21609617;21642862	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4355	0	0	0	0	0	0	0	0	0	0	0	0
NM_001168648	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	21374418;21426497;21432612;21440694;21470766;21490459;21497787;21501520;21516485;21526867;21531856;21561471;21563238;21590572;21591022;21594974;21595324;21601282;21606779;21609071;21641533	21374961;21426660;21432814;21440781;21470807;21490578;21497846;21501588;21516631;21527000;21532067;21561560;21563452;21590620;21591194;21595047;21595395;21601349;21606879;21609617;21642862	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4502	0	0	0	0	0	0	0	0	0	0	0	0
NM_014927	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	21374418;21426497;21432612;21440694;21470766;21490459;21497787;21501520;21516485;21526867;21531856;21561471;21563238;21590572;21591022;21594974;21595324;21601282;21606779;21609071;21648831;21652306	21374961;21426660;21432814;21440781;21470807;21490578;21497846;21501588;21516631;21527000;21532067;21561560;21563452;21590620;21591194;21595047;21595395;21601349;21606879;21609617;21649027;21654695	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5759	0	0	0	0	0	0	0	0	0	0	0	0
NM_014332	chrX;chrX;chrX;chrX;chrX	21705972;21737549;21743750;21754246;21757942	21706394;21737697;21743836;21754302;21758160	-;-;-;-;-	935	0	0	0	0	0	0	0	0	0	0	0	0
NM_000444	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	22032444;22038469;22047050;22076388;22077476;22090429;22093983;22096955;22099006;22111467;22114458;22133523;22168312;22178273;22190444;22212904;22219036;22221613;22226443;22227507;22245333;22247851	22033123;22038537;22047211;22076474;22077702;22090497;22094099;22097038;22099151;22111560;22114586;22133624;22168389;22178376;22190502;22212958;22219103;22221743;22226508;22227611;22245409;22251310	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6169	0	0	0	0	1	0	1	1	1	0	0	0
NM_001282754	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	22032444;22038469;22047050;22076388;22077476;22090429;22093983;22096955;22099006;22111467;22114458;22133523;22168312;22178273;22190444;22212904;22219036;22221613;22226443;22227507;22247851	22033123;22038537;22047211;22076474;22077702;22090497;22094099;22097038;22099151;22111560;22114586;22133624;22168389;22178376;22190502;22212958;22219103;22221743;22226508;22227611;22251310	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6092	0	0	0	0	0	0	0	0	0	0	0	0
NM_001033583	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	23703660;23704694;23704993;23705509;23705768;23706628;23707877;23713135;23721881;23722670;23730527;23730816;23733172;23735919;23743125	23703982;23704844;23705080;23705594;23705858;23706739;23707944;23713208;23721984;23722753;23730564;23730986;23733217;23736016;23743290	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1700	0	0	0	0	0	0	0	0	0	0	0	0
NM_024122	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	23833348;23840313;23856302;23858642;23868593;23874403;23878915;23880845;23907694	23833612;23840377;23856382;23858733;23868688;23874457;23879034;23880952;23907940	-;-;-;-;-;-;-;-;-	1129	7	13	10	5	13	8	10	13	20	4	8	10
NM_030624	chrX;chrX;chrX;chrX	23983716;24005989;24024857;24027140	23989030;24006700;24025058;24027186	-;-;-;-	6276	854	894	592	277	486	281	664	593	674	490	565	673
NM_001037171	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	23703660;23704694;23704993;23705509;23705768;23706628;23707877;23713135;23721881;23722670;23730527;23730816;23733172;23734341;23735919;23743125	23703982;23704844;23705080;23705594;23705858;23706739;23707944;23713208;23721984;23722753;23730564;23730986;23733217;23734367;23736016;23743290	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1727	0	0	0	0	0	1	3	0	0	0	0	0
NR_026545	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	23833348;23840313;23856302;23858642;23868593;23878915;23880845;23907694	23833510;23840377;23856382;23858733;23868688;23879034;23880952;23907940	-;-;-;-;-;-;-;-	972	0	0	0	0	0	0	0	0	0	0	0	0
NM_001142386	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	24465227;24494742;24498829;24503327;24505209;24518933;24526198;24527574;24528076;24531657;24533929;24539134	24465561;24494883;24498900;24503511;24505298;24519010;24526274;24527675;24528186;24531770;24534068;24550466	+;+;+;+;+;+;+;+;+;+;+;+	12779	2675	3449	1848	1544	1792	833	2666	2027	3049	1674	1463	2797
NM_005391	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	24465227;24494742;24498829;24503327;24505209;24518933;24526198;24527574;24528076;24531657;24533929	24465561;24494883;24498900;24503511;24505298;24519010;24526274;24527675;24528186;24531770;24534425	+;+;+;+;+;+;+;+;+;+;+	1803	3	10	9	5	12	4	15	5	15	6	8	7
NM_004845	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	24558087;24575130;24579316;24587241;24590023;24607745;24618985;24646989	24562505;24575318;24579458;24587319;24590174;24607861;24619084;24647338	-;-;-;-;-;-;-;-	5549	0	0	0	0	0	0	0	0	0	0	0	0
NM_016937	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	24693947;24699425;24703251;24704389;24714554;24715141;24716362;24716884;24717290;24717580;24723155;24724335;24725981;24726933;24727782;24732370;24733755;24735399;24737625;24739375;24741375;24742002;24743230;24745418;24748311;24748870;24809898;24810708;24812658;24814979;24821452;24826427;24841652;24843546;24888006;24930453;24995805	24693986;24699549;24703347;24704469;24714669;24715203;24716454;24716971;24717491;24717758;24723267;24724451;24726055;24727071;24727936;24732454;24733816;24735488;24737741;24739550;24741504;24742121;24743329;24745542;24748460;24748992;24809930;24810800;24812863;24815111;24821583;24826601;24841830;24843677;24888122;24930549;24996985	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5439	2002	2847	2009	1113	1559	888	2847	1736	2593	1574	1583	2100
NM_001163265	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	24558087;24562443;24575130;24579316;24587241;24590023;24607745;24618985;24646989	24562117;24562505;24575318;24579458;24587319;24590174;24607861;24619084;24647338	-;-;-;-;-;-;-;-;-	5224	0	0	0	0	0	0	0	0	0	0	0	0
NM_001163264	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	24558087;24575130;24579316;24587241;24590023;24607745;24618985;24672570	24562505;24575318;24579458;24587319;24590174;24607861;24619084;24672862	-;-;-;-;-;-;-;-	5492	0	0	0	0	0	0	0	0	0	0	0	0
NM_203391	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	30653359;30665511;30668012;30677375;30691123;30694400;30696042;30696617;30697732;30700414;30700838;30707556;30708054;30718538;30719419;30720011;30720621;30720852;30724101;30728732	30653615;30665584;30668118;30677452;30691199;30694537;30696151;30696683;30697749;30700449;30700905;30707598;30708134;30718616;30719515;30720095;30720741;30720995;30724181;30731460	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4490	0	0	0	0	0	0	0	0	0	0	0	0
NM_004019	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31178195;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31266810	31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31266907	-;-;-;-;-;-;-;-;-	1571	3	11	1	0	0	2	4	1	11	2	3	6
NM_004018	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31134102;31146291;31147275;31169443;31172348;31173539;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31266810	31121930;31134194;31146414;31147518;31169601;31172413;31173604;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31266907	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4552	0	0	0	0	0	0	0	0	0	0	0	0
NM_001205019	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	30653359;30665511;30668012;30677375;30691123;30694400;30696042;30696617;30697732;30700414;30700838;30707556;30708054;30718538;30719419;30720011;30720621;30720852;30724101;30727466;30728732	30653615;30665584;30668118;30677452;30691199;30694537;30696151;30696683;30697749;30700449;30700905;30707598;30708134;30718616;30719515;30720095;30720741;30720995;30724181;30727552;30731460	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4577	0	0	0	0	0	0	0	0	0	0	0	0
NM_004017	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31266810	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31266907	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4584	0	0	0	0	0	0	0	0	0	0	0	0
NM_004016	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31266810	31121930;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31266907	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4591	0	0	0	0	0	0	0	0	0	0	0	0
NM_000167	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	30653359;30665511;30668012;30677375;30691123;30694400;30696042;30696617;30700414;30700838;30707556;30708054;30718538;30719419;30720011;30720621;30720852;30724101;30728732	30653615;30665584;30668118;30677452;30691199;30694537;30696151;30696683;30700449;30700905;30707598;30708134;30718616;30719515;30720095;30720741;30720995;30724181;30731460	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4472	0	0	0	0	0	0	0	0	0	0	0	0
NM_004015	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31266810	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31266907	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4623	0	0	0	0	0	0	0	0	0	0	0	0
NM_001128127	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	30653359;30665511;30668012;30677375;30691123;30694400;30696042;30696617;30700414;30700838;30707556;30708054;30718538;30719419;30720011;30720621;30720852;30724101;30727466;30728732	30653615;30665584;30668118;30677452;30691199;30694537;30696151;30696683;30700449;30700905;30707598;30708134;30718616;30719515;30720095;30720741;30720995;30724181;30727552;30731460	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4559	0	0	0	0	0	0	0	0	0	0	0	0
NM_001304548	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	35919734;35926017;35941283;35948314;35951131;35951803;35953592;35955961;35966565;35967619;35970768;35971586;35971869;35975147;35975672;35989319;35991821;35993190;35997312;36000283;36001613;36014774;36031253;36035695;36038984;36046854;36065643;36071825;36073139;36085314;36098793;36099751;36104499;36137958;36138348;36145219;36149108;36159426;36160681;36179345;36188620;36190051;36200379;36201274;36204957;36228628;36235934;36236686;36251333;36280487;36285629;36298977;36301072;36303849;36306772;36310833;36319209;36348129;36350038;36353529;36361330;36366966;36379350;36384797	35920048;35926168;35941398;35948452;35951359;35951963;35953719;35956196;35966754;35967832;35970923;35971772;35971965;35975363;35975913;35989449;35991943;35993321;35997389;36000427;36001707;36014912;36031347;36035854;36039179;36047063;36065743;36071971;36073364;36085538;36098874;36099879;36104691;36138055;36138464;36145353;36149223;36159576;36160769;36179422;36188690;36190196;36200493;36201500;36205110;36228824;36236077;36236859;36251444;36280630;36285726;36299152;36301179;36303960;36306876;36310989;36319307;36348288;36350132;36353681;36361501;36367127;36379518;36385319	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9943	0	0	0	0	0	0	0	1	0	0	0	0
NR_110412	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	36365626;36367921;36379382;36413915;36428986;36431030;36432302;36439528	36365802;36368097;36379484;36413949;36429042;36431470;36432407;36440292	-;-;-;-;-;-;-;-	1861	1	0	0	0	0	0	0	0	0	0	0	0
NM_001173486	chrX;chrX;chrX;chrX	37349275;37406209;37425840;37440791	37349395;37406259;37426000;37442224	+;+;+;+	1767	1	0	0	0	0	0	0	0	0	0	0	0
NM_001173490	chrX;chrX;chrX;chrX	37349330;37406209;37425840;37453136	37349469;37406259;37426000;37457295	+;+;+;+	4512	0	0	0	0	0	0	0	0	0	0	0	0
NM_001173489	chrX;chrX;chrX;chrX;chrX	37349330;37386599;37406209;37425840;37453136	37349469;37386689;37406259;37426000;37457295	+;+;+;+;+	4603	0	0	0	0	0	0	0	0	0	0	0	0
NM_001142395	chrX;chrX;chrX;chrX	37349275;37406209;37425840;37453136	37349395;37406259;37426000;37457295	+;+;+;+	4493	0	0	0	0	0	0	0	0	0	0	0	0
NM_000950	chrX;chrX;chrX;chrX;chrX	37349275;37386599;37406209;37425840;37453136	37349395;37386689;37406259;37426000;37457295	+;+;+;+;+	4584	0	0	0	0	0	0	0	0	0	0	0	0
NM_001170331	chrX;chrX;chrX;chrX;chrX	37571569;37655688;37659462;37667282;37675654	37572443;37655811;37659659;37667489;37677497	+;+;+;+;+	3249	0	0	0	0	0	0	0	0	0	0	0	0
NM_198511	chrX;chrX;chrX;chrX;chrX;chrX	37571569;37655688;37659462;37667282;37668368;37675654	37572443;37655811;37659659;37667489;37668450;37677497	+;+;+;+;+;+	3332	0	0	0	0	0	0	0	0	0	0	0	0
NM_000328	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	38269170;38273386;38275089;38276587;38287094;38287861;38290959;38291393;38297284;38298956;38301247;38304635;38310615;38317316;38318829;38321027;38322853;38323399;38327340	38269832;38273477;38275146;38276772;38287245;38288041;38291024;38291484;38297452;38299141;38301371;38304790;38310773;38317465;38318987;38321089;38322945;38323524;38327535	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3072	54	124	73	58	100	32	142	80	123	74	118	74
NM_004615	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	38561478;38666121;38671376;38674221;38675705;38681204;38687599;38687939	38561627;38666309;38671450;38674316;38675860;38681287;38687674;38688918	+;+;+;+;+;+;+;+	1806	16	3	3	1	5	1	2	2	4	2	5	4
NM_000531	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	38352483;38367291;38369796;38381342;38401275;38403618;38408742;38408876;38411862;38421023	38352773;38367429;38369877;38381429;38401428;38403740;38408795;38409025;38411999;38421450	+;+;+;+;+;+;+;+;+;+	1647	0	0	1	0	0	0	0	0	0	0	0	0
NM_138780	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	38006582;38033534;38054213;38072047;38073590;38076567;38089446;38094295;38096134;38102342;38106593;38108600;38110321;38120358;38122080;38125298;38126588	38006668;38034008;38054422;38072162;38073698;38076701;38089587;38094424;38096234;38102434;38106771;38108699;38110482;38120466;38122215;38125506;38128820	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4726	0	0	0	0	0	0	0	0	0	0	0	0
